Success (183):
datatype {urn:com:appian:types}WD_widget 5094
datatype {urn:com:appian:types}WD_bookmark 5096
datatype {urn:com:appian:types}WD_toDoItem 5098
2017-07-07 21:59:58.305 DEBUG group _e-0000de3b-6558-8000-341f-011e94011e94_20 630 Importing object references.
2017-07-07 21:59:58.305 DEBUG group _e-0000de3b-6558-8000-341f-011e94011e94_20 630 Processing reference: Role[name=<null>,groupUuids=[_e-0000de3b-6558-8000-341f-011e94011e94_20]]
2017-07-07 21:59:58.306 DEBUG group _e-0000de3b-6558-8000-341f-011e94011e94_20 630 Begin transport.
2017-07-07 21:59:58.307 DEBUG group _e-0000de3b-6558-8000-341f-011e94011e94_20 630 Loop detected: [group:_e-0000de3b-6558-8000-341f-011e94011e94_20]
2017-07-07 21:59:58.307 DEBUG group _e-0000de3b-6558-8000-341f-011e94011e94_20 Breaking loop [group:_e-0000de3b-6558-8000-341f-011e94011e94_20]. group:_e-0000de3b-6558-8000-341f-011e94011e94_20 will be transported with its reference to _e-0000de3b-6558-8000-341f-011e94011e94_20 nulled out and will require a second pass.
2017-07-07 21:59:58.307 DEBUG group _e-0000de3b-6558-8000-341f-011e94011e94_20 630 Processing reference: Group.groupTypeId
2017-07-07 21:59:58.309 DEBUG group _e-0000de3b-6558-8000-341f-011e94011e94_20 630 Processing reference: Group.parentId
2017-07-07 21:59:58.309 DEBUG group _e-0000de3b-6558-8000-341f-011e94011e94_20 630 Processing reference: Group.homePageId
2017-07-07 21:59:58.309 DEBUG group _e-0000de3b-6558-8000-341f-011e94011e94_20 630 Processing reference: Role[name=<null>,groupUuids=[_e-0000db85-db2e-8000-9aee-01075c01075c_27]]
2017-07-07 21:59:58.311 DEBUG group _e-0000de3b-6558-8000-341f-011e94011e94_20 630 Updating existing object.
2017-07-07 21:59:58.904 DEBUG group _e-0000de3b-6558-8000-341f-011e94011e94_20 630 Object transported with these references nulled out: [group:_e-0000de3b-6558-8000-341f-011e94011e94_20]
2017-07-07 21:59:58.904 DEBUG group _e-0000de3b-6558-8000-341f-011e94011e94_20 630 Binding pending incomplete: group:_e-0000de3b-6558-8000-341f-011e94011e94_20
2017-07-07 21:59:58.905 DEBUG group _e-0000de3b-6558-8000-341f-011e94011e94_20 630 Begin transport.
2017-07-07 21:59:58.905 DEBUG group _e-0000de3b-6558-8000-341f-011e94011e94_20 630 De-serializing object from XML.
2017-07-07 21:59:58.906 DEBUG group _e-0000de3b-6558-8000-341f-011e94011e94_20 630 Setting import properties.
2017-07-07 21:59:58.906 DEBUG group _e-0000de3b-6558-8000-341f-011e94011e94_20 630 Importing object references.
2017-07-07 21:59:58.906 DEBUG group _e-0000de3b-6558-8000-341f-011e94011e94_20 630 Processing reference: Role[name=<null>,groupUuids=[_e-0000de3b-6558-8000-341f-011e94011e94_20]]
2017-07-07 21:59:58.907 DEBUG group _e-0000de3b-6558-8000-341f-011e94011e94_20 630 Processing reference: Group.groupTypeId
2017-07-07 21:59:58.909 DEBUG group _e-0000de3b-6558-8000-341f-011e94011e94_20 630 Processing reference: Group.parentId
2017-07-07 21:59:58.909 DEBUG group _e-0000de3b-6558-8000-341f-011e94011e94_20 630 Processing reference: Group.homePageId
2017-07-07 21:59:58.909 DEBUG group _e-0000de3b-6558-8000-341f-011e94011e94_20 630 Processing reference: Role[name=<null>,groupUuids=[_e-0000db85-db2e-8000-9aee-01075c01075c_27]]
2017-07-07 21:59:58.91 DEBUG group _e-0000de3b-6558-8000-341f-011e94011e94_20 630 Updating object that was imported with some refereces nulled-out.
2017-07-07 21:59:59.498 DEBUG group _e-0000de3b-6558-8000-341f-011e94011e94_20 630 Removed object from incomplete list.
2017-07-07 21:59:59.498 DEBUG group _e-0000de3b-6558-8000-341f-011e94011e94_20 630 Object transported.
2017-07-07 21:59:59.498 DEBUG group _e-0000de3b-6558-8000-341f-011e94011e94_20 630 Binding pending incomplete: group:_e-0000de3b-6558-8000-341f-011e94011e94_20
2017-07-07 21:59:59.499 DEBUG group _e-0000de3b-6558-8000-341f-011e94011e94_21 631 Processing reference: Group.groupTypeId
2017-07-07 21:59:59.501 DEBUG group _e-0000de3b-6558-8000-341f-011e94011e94_21 631 Processing reference: Group.parentId
2017-07-07 21:59:59.501 DEBUG group _e-0000de3b-6558-8000-341f-011e94011e94_21 631 Processing reference: Group.homePageId
2017-07-07 21:59:59.501 DEBUG group _e-0000de3b-6558-8000-341f-011e94011e94_21 631 Processing reference: Role[name=<null>,groupUuids=[_e-0000d398-70cf-8000-9aee-01075c01075c_6]]
